"New password","Nytt lösenord"
"Before the line <code>/* That's all, stop editing! Happy blogging. */</code> please add this code:","Innan raden <code>/* Det var allt, sluta redigera här! Blogga på. */</code> (<code>/* That's all, stop editing! Happy blogging. */</code>) ange denna kod:"
"Thank you for Updating! Please visit the <a href=\"%s\">Update Network</a> page to update all your sites.","Tack för att du uppdaterar! Var vänlig besök sidan <a href=\"%s\">Uppdatera nätverk</a> för att uppdatera alla dina webbplatser."
"Primary Site","Primär webbplats"
"%s (Invalid)","%s (ogiltig)"
"%s (Pending)","%s (Väntande)"
"Move up","Flytta upp"
"Move down","Flytta ner"
"Edit Menu Item","Redigera menyobjekt"
"Navigation Label","Navigeringsetikett"
"Title Attribute","Titelattribut"
"CSS Classes (optional)","CSS-klasser (valfritt)"
"The description will be displayed in the menu if the current theme supports it.","Beskrivningen kommer att visas i menyn om använt tema har stöd för det."
"Home: %s","Hem: %s"
"Theme Locations","Temaposition"
"Custom Links","Anpassade länkar"
"The current theme does not natively support menus, but you can use the &#8220;Custom Menu&#8221; widget to add any menus you create here to the theme&#8217;s sidebar.","Nuvarande tema har inte stöd den inbyggda menyhanteringen, men du kan använda widgeten &#8221;Anpassad meny&#8221; för att lägga till menyer du skapar i temats sidopanel."
"Label","Etikett"
"Menu Item","Menypost"
"Add to Menu","Lägg till i meny"
"No items.","Inga poster"
"Most Recent","Senaste"
"View All","Visa alla"
"Select menu items (pages, categories, links) from the boxes at left to begin building your custom menu.","Välj menyobjekt (sidor, kategorier, länkar) från panelerna till vänster för att börja skapa din anpassade meny."
"The Walker class named <strong>%s</strong> does not exist.","Hierarki-classen med namn <strong>%s</strong> existerar inte."
"Click Save Menu to make pending menu items public.","Klicka på Spara meny för att göra ej sparade menyobjekt publika."
"There are some invalid menu items. Please check or delete them.","Det finns ogiltiga menyposter. Kontrollera eller radera dem."
"Show advanced menu properties","Visa avancerade menyalternativ"
"Link Target","Länkmål"
"CSS Classes","CSS klasser"
"An unexpected error occurred. Something may be wrong with WordPress.org or this server&#8217;s configuration. If you continue to have problems, please try the <a href=\"http://wordpress.org/support/\">support forums</a>.","Ett oväntat fel uppstod. Något kan vara fel hos WordPress.org eller denna serverkonfiguration. Om du fortsatt har problem, försök att hitta hjälp på <a href=\"http://wordpress.org/support/\">officiella supportforumet</a> (engelska) eller <a href=\"http://wpsv.se/forum/\">WordPress Sverige</a>."
"Plugins extend and expand the functionality of WordPress. You may automatically install plugins from the <a href=\"http://wordpress.org/extend/plugins/\">WordPress Plugin Directory</a> or upload a plugin in .zip format via <a href=\"%s\">this page</a>.","Tillägg utvidgar och utökar funktionaliteten i WordPress. Du kan automatiskt installera tillägg från <a href=\"http://wordpress.org/extend/plugins/\">WordPress tilläggskatalog</a> eller ladda upp et tillägg i .zip-format via <a href=\"%s\">denna sida</a>."
"Popular tags","Populära etiketter"
"You may also browse based on the most popular tags in the Plugin Directory:","Du kan också bläddra baserat på populära etiketter i tilläggskatalogen:"
"%s plugin","%s tillägg"
"%s plugins","%s tillägg"
"Keyword","Nyckelord"
"Search Plugins","Sök efter tillägg"
"Install a plugin in .zip format","Installera ett tillägg i ZIP-format"
"If you have a plugin in a .zip format, you may install it by uploading it here.","Om du har ett tillägg i .zip-format så kan du installera det genom att ladda upp det här."
"Plugin zip file","Tillägg - ziparkivsfil"
"If you have marked plugins as favorites on WordPress.org, you can browse them here.","Om du har markerat ett tillägg som favorit på WordPress.org så kan du bläddra bland dessa här."
"Your WordPress.org username:","Ditt användarnamn på WordPress.org:"
"Get Favorites","Hämta favoriter"
"Screenshots","Skärmdumpar"
"Changelog","Ändringslogg"
"Other Notes","Övriga noteringar"
"Plugin Install","Tilläggsinstallation"
"Install Update Now","Installera uppdatering nu"
"Newer Version (%s) Installed","Nyare version (%s) installerad"
"Latest Version Installed","Senaste versionen installerad"
"FYI","För information"
"Author:","Författare:"
"Last Updated:","Senast uppdaterat:"
"Requires WordPress Version:","Kräver WordPress version:"
"%s or higher","%s eller högre"
"Compatible up to:","Kompatibelt upp till:"
"Downloaded:","Nerladdat:"
"%s time","%s gång"
"%s times","%s gånger"
"WordPress.org Plugin Page &#187;","WordPress.org tilläggssida &#187;"
"Plugin Homepage &#187;","Tilläggets hemsida  &#187;"
"Average Rating","Genomsnittligt omdöme"
"<strong>Warning:</strong> This plugin has <strong>not been tested</strong> with your current version of WordPress.","<strong>Varning:</strong> Det här tillägget har <strong>inte testats</strong> med din nuvarande version av WordPress."
"<strong>Warning:</strong> This plugin has <strong>not been marked as compatible</strong> with your version of WordPress.","<strong>Varning:</strong> Det här tillägget har <strong>inte markerats som kompatibelt</strong> med din version av WordPress."
"The <code>%s</code> plugin header is deprecated. Use <code>%s</code> instead.","<code>%s</code> tilläggsheader är utfasad. Använd <code>%s</code> istället."
"Visit plugin homepage","Besök tilläggets webbplats"
"By %s.","Av %s."
"Advanced caching plugin.","Avancerat cachetillägg."
"Custom database class.","Anpassad databasklass."
"Custom database error message.","Anpassat databasfelmeddelande."
"Custom install script.","Anpassat installationsskript."
"Custom maintenance message.","Anpassat underhållsmeddelande."
"External object cache.","Extern objektcache."
"Executed before Multisite is loaded.","Körs innan multiwebbplatsnätverk laddas."
"Custom site deleted message.","Anpassat meddelande för raderad webbplats."
"Custom site inactive message.","Anpassat meddelande för inaktiv webbplats."
"Custom site suspended message.","Anpassat meddelande för avstängd webbplats."
"The plugin generated unexpected output.","Tillägget genererade oväntad output."
"One of the plugins is invalid.","Ett av tilläggen är ogiltigt."
"Could not fully remove the plugin(s) %s.","Kunde inte ta bort tillägg(en) %s fullständigt"
"Invalid plugin path.","Ogiltigt sökväg för tillägg."
"Plugin file does not exist.","Tilläggets fil saknas."
"The plugin does not have a valid header.","Tillägget saknar en riktig 'header'."
"The \"%s\" options group has been removed. Use another settings group.","Gruppen för \"%s\" inställningar har tagits bort. Använd en annan grupp av inställningar."
"You are not allowed to edit pages as this user.","Du har inte tillräcklig behörighet för att redigera sidor som den här användaren."
"You are not allowed to edit posts as this user.","Du har inte tillräcklig behörighet för att redigera inlägg som den här användaren."
"You are not allowed to edit pages.","Du har inte tillräcklig behörighet för att redigera sidor."
"You are not allowed to edit posts.","Du har inte tillräcklig behörighet för att redigera inlägg."
"Auto Draft","Automatiskt utkast"
"You are not allowed to create pages on this site.","Du har inte tillräcklig behörighet för att skapa sidor på den här webbplatsen."
"You are not allowed to create posts or drafts on this site.","Du har inte tillräcklig behörighet för att skapa inlägg eller utkast på den här webbplatsen."
"Click to edit this part of the permalink","Klicka för att redigera denna del av permalänken"
"Temporary permalink. Click to edit this part.","Temporär permalänk. Klicka för att redigera denna del."
"Permalink:","Permalänk:"
"Change Permalinks","Ändra permalänkar"
"Remove featured image","Ta bort utvald bild"
"Warning: %s is currently editing this post","Varning: %s redigerar just nu det här inlägget"
"Warning: %s is currently editing this page","Varning: %s redigerar just nu denna sida"
"Warning: %s is currently editing this.","Varning: %s redigerar just nu det här."
"Preview not available. Please save as a draft first.","Förhandsgranskning ej tillgänglig. Var vänlig spara som utkast först."
"0","Europe/Stockholm"
"My Site","Min webbplats"
"Just another WordPress site","En till WordPress-webbplats"
"F j, Y","j F, Y"
"g:i a","h:i"
"F j, Y g:i a","j F, Y h:i"
"Just another %s site","En till %s webbplats"
"Administrator","Administratör"
"Editor","Redigerare"
"Contributor","Medarbetare"
"Subscriber","Prenumerant"
"You must provide a domain name.","Du måste ange ett domännamn."
"You must provide a name for your network of sites.","Du måste ange ett namn för ditt nätverk av webbplatser."
"The network already exists.","Nätverket finns redan."
"You must provide a valid e-mail address.","Du måste ange en giltig e-postadress."
"Welcome to <a href=\"SITE_URL\">SITE_NAME</a>. This is your first post. Edit or delete it, then start blogging!","Välkommen till <a href=\"SITE_URL\">SITE_NAME</a>. Det här är ditt första inlägg. Redigera eller radera det. Sen är det bara att börja blogga!"
"Warning! Wildcard DNS may not be configured correctly!","Varning! Joker-dns-posten är kanske inte korrekt konfigurerad!"
"The installer attempted to contact a random hostname (<code>%s</code>) on your domain.","Installeraren försökte slumpvis ansluta till hostnamn (<code>%s</code>) för din domän."
"This resulted in an error message: %s","Detta resulterade i ett felmeddelande: %s"
"To use a subdomain configuration, you must have a wildcard entry in your DNS. This usually means adding a <code>*</code> hostname record pointing at your web server in your DNS configuration tool.","Om du vill använda en subdomänkonfiguration så måste du skapa en jokerpost i din DNS. Detta innebär ofast att man anger en <code>*</code> som en 'hostname'-post pekad mot servern i DNS-konfigurationen."
"You can still use your site but any subdomain you create may not be accessible. If you know your DNS is correct, ignore this message.","Du kan fortfarande använda din webbplats men alla underdomän du skapar kanske inte är tillgänglig. Om du vet att dina DNS-inställningar är korrekta så kan du ignorera det här meddelandet."
