"New password","Nieuw wachtwoord"
"Update User","Gebruiker bijwerken"
"Hi,\nYou've been invited to join '%s' at\n%s with the role of %s.\nIf you do not want to join this site please ignore\nthis email. This invitation will expire in a few days.\n\nPlease click the following link to activate your user account:\n%s%s","Hallo,\nJe bent uitgenodigd mee te doen met '%s' op\n%s met de rol %s.\nAls je niet wilt meedoen met deze site negeer \ndeze e-amil. Deze uitnodiging vervalt binnen een paar dagen.\n\nKlik op de volgende link om je gebruikersaccount te activeren:\n%s%s"
"[%s] Your site invite","[%s] Jouw website- of bloguitnodiging"
"Hi,\n\nYou've been invited to join '%s' at\n%s with the role of %s.\n\nPlease click the following link to confirm the invite:\n%s","Hallo,\n\nJe bent uitgenodigd mee te doen met '%s' op\n%s met de rol van%s.\n\nKlik op de volgende link om de uitnodiging te bevestigen:\n%s"
"[%s] Joining confirmation","[%s] Deelname bevestiging"
"To add a new user to your site, fill in the form on this screen and click the Add New User button at the bottom.","Om een nieuwe gebruiker aan je site toe te voegen, vul de vakken op dit scherm in en klik op de Nieuwe Gebruiker Toevoegen knop aan de onderkant van dit scherm."
"Because this is a multisite installation, you may add accounts that already exist on the Network by specifying a username or email, and defining a role. For more options, such as specifying a password, you have to be a Network Administrator and use the hover link under an existing user&#8217;s name to Edit the user profile under Network Admin > All Users.","Omdat dit een multisite installatie is, kun je accounts toevoegen die al bestaan op het netwerk door een gebruikersnaam of e-mail te specificeren en een rol toe te wijzen. Voor meer opties, zoals een wachtwoord instellen moet je een Netwerk Admin zijn en de hoverlink onder een bestaande gebruiksnaam klikken om het gebruikersprofiel te bewerken via Netwerk Admin -> Alle gebruikers."
"New users will receive an email letting them know they&#8217;ve been added as a user for your site. This email will also contain their password. Check the box if you don&#8217;t want the user to receive a welcome email.","Nieuwe gebruikers ontvangen een e-mail om ze te laten weten dat ze zijn toegevoegd als een gebruiker van je site. Deze e-mail zal ook hun wachtwoord bevatten. Vink de box aan als je niet wilt dat de gebruiker een welkomst e-mail ontvangt."
"You must assign a password to the new user, which they can change after logging in. The username, however, cannot be changed.","Je moet een wachtwoord aan de nieuwe gebruiker toewijzen, welke ze kunnen wijzigen nadat ze zijn ingelogd. In elk geval de gebruikersnaam kan niet gewijzigd worden."
"New users will receive an email letting them know they&#8217;ve been added as a user for your site. By default, this email will also contain their password. Uncheck the box if you don&#8217;t want the password to be included in the welcome email.","Nieuwe gebruikers ontvangen een e-mail waarin staat dat ze als gebruiker aan je site toegevoegd zijn. Standaard staat in dit bericht ook het wachtwoord. Haal dit vinkje weg als je niet wilt dat het wachtwoord in de welkomst e-mail vermeld wordt."
"Remember to click the Add New User button at the bottom of this screen when you are finished.","Denk erom, als je klaar bent, de Gebruiker toevoegen knop te klikken aan de onderkant van dit scherm."
"User Roles","Gebruikersrollen"
"Here is a basic overview of the different user roles and the permissions associated with each one:","Hier is een basis overzicht van de verschillende gebruikersrollen en de rechten welke met elke rol zijn geassocieerd:"
"Administrators have access to all the administration features.","Beheerders hebben toegang tot alle administratieve eigenschappen."
"Editors can publish posts, manage posts as well as manage other people&#8217;s posts, etc.","Redacteuren kunnen berichten publiceren, berichten beheren en tevens berichten van andere mensen beheren."
"Authors can publish and manage their own posts, and are able to upload files.","Auteurs kunnen publiceren en hun eigen berichten beheren, en kunnen ook bestanden uploaden."
"Contributors can write and manage their posts but not publish posts or upload media files.","Bijdragers kunnen berichten schrijven en beheren maar niet publiceren en geen mediabestanden uploaden."
"Subscribers can read comments/comment/receive newsletters, etc. but cannot create regular site content.","Inschrijvers kun reacties lezen/reacties geven/nieuwsbrieven ontvangen, enz. maar ze kunnen geen normale siteberichten schrijven."
"<a href=\"http://codex.wordpress.org/Users_Add_New_Screen\" target=\"_blank\">Documentation on Adding New Users</a>","<a href=\"http://codex.wordpress.org/Users_Add_New_Screen\" target=\"_blank\">Documentatie over het toevoegen van nieuwe gebruikers</a>"
"Invitation email sent to new user. A confirmation link must be clicked before their account is created.","De uitnodiging is verzonden naar de nieuwe gebruiker. De bevestigingslink moet worden aangeklikt voordat hun account wordt aangemaakt."
"Invitation email sent to user. A confirmation link must be clicked for them to be added to your site.","E-mail met uitnodiging verzonden naar de gebruiker. Een bevestigingslink moet worden aangeklikt om de gebruiker aan de site toe te voegen."
"User has been added to your site.","De gebruiker is toegevoegd aan je site."
"That user is already a member of this site.","Die gebruiker is al een lid van deze site."
"User added.","Gebruikers toegevoegd."
"Add New User","Gebruikers | Nieuwe gebruiker"
"Add Existing User","Bestaande gebruiker toevoegen"
"Enter the email address of an existing user on this network to invite them to this site. That person will be sent an email asking them to confirm the invite.","Vul het e-mailadres in van een bestaande gebruiker op dit netwerk om een uitnodiging voor deze site te versturen. Deze persoon zal een e-mail ontvangen met de vraag om de uitnodiging te bevestigen."
"Enter the email address or username of an existing user on this network to invite them to this site. That person will be sent an email asking them to confirm the invite.","Vul het e-mailadres of de gebruikersnaam in van een bestaande gebruiker op dit netwerk om een uitnodiging voor deze site te versturen. Deze persoon zal een e-mail ontvangen met de vraag om de uitnodiging te bevestigen."
"E-mail or Username","E-mail of gebruikersnaam"
"Skip Confirmation Email","Bevestigingbericht overslaan."
"Add the user without sending them a confirmation email.","Gebruiker toevoegen zonder een bevestigingsbericht te verzenden."
"Create a brand new user and add it to this site.","Maak een nieuwe gebruiker aan en voeg deze toe aan de site."
"(twice, required)","(tweemaal, verplicht)"
"Send Password?","Wachtwoord verzenden?"
"Send this password to the new user by email.","Verzend dit wachtwoord per e-mail aan de nieuwe gebruiker."
"This screen lists all the existing users for your site. Each user has one of five defined roles as set by the site admin: Site Administrator, Editor, Author, Contributor, or Subscriber. Users with roles other than Administrator will see fewer options in the dashboard navigation when they are logged in, based on their role.","Dit scherm geeft een overzicht van alle bestaande gebruikers voor deze site. Elke gebruiker heeft een van de vijf gedefinieerde taken zoals vastgesteld door de admin: Admin, redacteur, auteur, plaatser, of abonnee. Gebruikers met rollen anders dan beheerder zien minder mogelijkheden in de dashboard navigatie wanneer ze zijn ingelogd."
"To add a new user for your site, click the Add New button at the top of the screen or Add New in the Users menu section.","Klik om een nieuwe gebruiker toe te voegen voor je site op de knop Toevoegen bovenin het scherm of kies Nieuwe toevoegen in het menu Gebruikers."
"Screen Display","Schermweergave"
"You can customize the display of this screen in a number of ways:","Je kunt de weergave van dit scherm op een aantal manieren aanpassen:"
"You can hide/display columns based on your needs and decide how many users to list per screen using the Screen Options tab.","Je kunt kolommen tonen/verbergen naar eigen inzicht en beslissen hoeveel berichten worden getoond per scherm met gebruik van de Scherminstellingen tab."
"You can filter the list of users by User Role using the text links in the upper left to show All, Administrator, Editor, Author, Contributor, or Subscriber. The default view is to show all users. Unused User Roles are not listed.","Je kunt de lijst van gebruikers filteren op rol door te klikken op de tekstlinks aan de linkerbovenkant om Alle, Beheerder, Redacteur, Auteur, Schrijver, of Abonnees te bekijken. Standaard worden alle gebruikers getoond. Niet gebruikte rollen worden niet getoond."
"You can view all posts made by a user by clicking on the number under the Posts column.","Je kunt alle berichten gemaakt door een gebruiker bekijken door te klikken op het getal onder de berichtenkolom."
"Hovering over a row in the users list will display action links that allow you to manage users. You can perform the following actions:","Hoveren over een rij in de gebruikerslijst toont actielinks die je toestaan gebruikers te beheren. Je hebt de keuze uit de volgende acties:"
"Edit takes you to the editable profile screen for that user. You can also reach that screen by clicking on the username.","Bewerken brengt je naar het bewerkscherm van deze gebruiker. Je kunt dat scherm ook bereiken door op de gebruikersnaam te klikken."
"Remove allows you to remove a user from your site. It does not delete their posts. You can also remove multiple users at once by using Bulk Actions.","Verwijderen laat je een gebruiker van je site verwijderen. Het verwijdert niet hun berichten. Je kunt ook meerdere gebruikers tegelijk verwijderen met het Acties menu."
"Delete brings you to the Delete Users screen for confirmation, where you can permanently remove a user from your site and delete their posts. You can also delete multiple users at once by using Bulk Actions.","Verwijderen brengt je naar het Verwijder gebruikersscherm voor bevestiging, daar verwijder je een gebruiker permanent, samen met hun berichten.Je kunt meeredere gebruikers tegelijk verwijderen met gebruik van het Acties menu."
