"New password","Nueva contraseña"
"Find Themes","Buscar temas"
"Install a theme in .zip format","Instalar un tema desde un archivo .zip"
"If you have a theme in a .zip format, you may install it by uploading it here.","Si tienes un tema en un archivo .zip, puedes instalarlo subiendo el archivo desde aquí."
"Theme Install","Instalar"
"Unable to locate WordPress theme directory.","Ha sido imposible localizar el directorio de temas de WordPress."
"Could not fully remove the theme %s.","No se pudo eliminar completamente el tema %s."
"Updating this theme will lose any customizations you have made. 'Cancel' to stop, 'OK' to update.","La actualización de este tema perderá cualquier cambio que hayas hecho. Pulsa 'Cancelar' para cancelar, 'OK' para actualizar."
"There is a new version of %s available. <a href=\"%s\" class=\"thickbox\" title=\"%s\">View version %s details</a>.","Hay una nueva versión de %s disponible. <a href=\"%s\" class=\"thickbox\" title=\"%s\">Ver detalles de la versión %s</a>. "
"There is a new version of %s available. <a href=\"%s\" class=\"thickbox\" title=\"%s\">View version %s details</a>. <em>Automatic update is unavailable for this theme.</em>","Hay una nueva versión disponible de %s. <a href=\"%s\" class=\"thickbox\" title=\"%s\">Ver los detalles de la versión %s</a>. <em>La actualización automática no está disponible para este tema.</em>"
"There is a new version of %s available. <a href=\"%s\" class=\"thickbox\" title=\"%s\">View version %s details</a> or <a href=\"%s\" %s>update now</a>.","Hay disponible una nueva versión de  %s. <a href=\"%s\" class=\"thickbox\" title=\"%s\">Ver los detalles de la versión %s</a> o <a href=\"%s\" %s>actualízala ahora</a>."
"Tan","Café"
"Dark","Negro"
"Light","Ligero"
"One Column","Una columna"
"Two Columns","Dos columnas"
"Three Columns","Tres columnas"
"Four Columns","Cuatro columnas"
"Left Sidebar","Barra lateral izquierda"
"Right Sidebar","Barra lateral derecha"
"Fixed Width","Ancho fijo"
"Flexible Width","Ancho flexible"
"Features","Características"
"Custom Colors","Colores personalizados"
"Editor Style","Estilo del editor"
"Featured Image Header","Imagen de cabecera"
"Featured Images","Imágenes destacadas"
"Flexible Header","Cabecera flexible"
"Front Page Posting","Escritura en la página principal"
"Full Width Template","Plantilla a pantalla completa"
"Microformats","Microformatos"
"Post Formats","Formatos de entradas"
"RTL Language Support","Soporte del lenguaje RTL"
"Sticky Post","Entrada fija"
"Theme Options","Opciones del tema"
"Threaded Comments","Comentarios anidados"
"Translation Ready","Traducción lista"
"Subject","Asunto"
"Holiday","Vacaciones"
"Photoblogging","Fotoblogging"
"Seasonal","Estacional"
"Verifying the unpacked files&#8230;","Verificando los archivos descomprimidos&#8230;"
"The update could not be unpacked","No se ha podido descomprimir la actualización."
"The update cannot be installed because WordPress %s requires PHP version %s or higher and MySQL version %s or higher. You are running PHP version %s and MySQL version %s.","La actualización no se pudo instalar a causa de que  WordPress %s requiere la versión %s o superior de PHP y la versión %s o superior de MySQL. Estás usando la versión %s de PHP y la versión %s de MySQL."
"The update cannot be installed because WordPress %s requires PHP version %s or higher. You are running version %s.","La actualización no puede instalarse ya que WordPress %s requiere la versión %s o superior de PHP. Estás usando la versión %s."
"The update cannot be installed because WordPress %s requires MySQL version %s or higher. You are running version %s.","La actualización no puede instalarse porque WordPress %s requiere la versión %s o superior de MySQL. Estás usando la versión %s."
"Upgrading database&#8230;","Actualizado la base de datos&#8230;"
"WordPress updated successfully","WordPress ha sido actualizado correctamente"
"Welcome to WordPress %s. You will be redirected to the About WordPress screen. If not, click <a href=\"%s\">here</a>.","Bienvenido a WordPress %s. Serás redirigido a la pantalla Sobre WordPress. Si no es así, haz clic <a href=\"%s\">aquí</a>."
"Welcome to WordPress %s. <a href=\"%s\">Learn more</a>.","Bienvenido a WordPress %s. <a href=\"%s\">Aprende más</a>."
"You are using a development version (%s). Cool! Please <a href=\"%s\">stay updated</a>.","Estás usando una versión en desarrollo (%s). ¡Mola! Por favor, <a href=\"%s\">mantente actualizado</a>."
"<a href=\"%s\">Get Version %s</a>","<a href=\"%s\">Descargar versión %s</a>"
"<a href=\"http://codex.wordpress.org/Version_%s\">WordPress %s</a> is available! <a href=\"%s\">Please update now</a>.","¡<a href=\"http://codex.wordpress.org/Version_%s\">WordPress %s</a> está disponible! Por favor, <a href=\"%s\">actualiza ahora</a>."
"<a href=\"http://codex.wordpress.org/Version_%s\">WordPress %s</a> is available! Please notify the site administrator.","¡<a href=\"http://codex.wordpress.org/Version_%s\">WordPress %s</a> está disponible! Por favor, avisa al administrador del sitio."
"You are using <span class=\"b\">WordPress %s</span>.","Estás usando <span class=\"b\">WordPress %s</span>."
"Update to %s","Actualizar a %s"
"Latest","Última"
"There is a new version of %s available. <a href=\"%s\" class=\"thickbox\" title=\"%s\">View version %s details</a>. <em>Automatic update is unavailable for this plugin.</em>","Hay una nueva versión de %s disponible. <a href=\"%s\" class=\"thickbox\" title=\"%s\">Ver detalles de la versión %s</a>. <em>La actualización automática no está disponible para este plugin.</em>"
"There is a new version of %s available. <a href=\"%s\" class=\"thickbox\" title=\"%s\">View version %s details</a> or <a href=\"%s\">update now</a>.","Hay disponible una nueva versión de %s. <a href=\"%s\" class=\"thickbox\" title=\"%s\">Ver los detalles de la versión %s</a> o <a href=\"%s\">actualízala ahora</a>."
"An automated WordPress update has failed to complete - <a href=\"%s\">please attempt the update again now</a>.","No se ha podido completar la actualización automática de WordPress. Por favor, <a href=\"%s\">vuelve a intentarlo</a>."
"An automated WordPress update has failed to complete! Please notify the site administrator.","¡No se ha podido completar la actualización automática de WordPress! Por favor, avisa al administrador."
"<strong><em>Note that password</em></strong> carefully! It is a <em>random</em> password that was generated just for you.","¡<strong><em>Anota la contraseña</em></strong> cuidadosamente! Es una contraseña <em>aleatoria</em> que ha sido generada sólo para ti."
"Your chosen password.","Tu contraseña elegida."
"User already exists. Password inherited.","El usuario ya existe. No se ha modificado la contraseña."
"The password you chose during the install.","La contraseña que has elegido durante la instalación."
"Welcome to WordPress. This is your first post. Edit or delete it, then start blogging!","Bienvenido a WordPress. Esta es tu primera entrada. Edítala o bórrala, ¡y comienza a publicar!."
"Hello world!","¡Hola mundo!"
"hello-world","hola-mundo"
"Mr WordPress","Sr WordPress"
"Hi, this is a comment.\nTo delete a comment, just log in and view the post&#039;s comments. There you will have the option to edit or delete them.","Hola, esto es un comentario.\nPara borrar un comentario simplemente accede y revisa los comentarios de la entrada. Ahí tendrás la opción de editarlo o borrarlo."
"This is an example page. It's different from a blog post because it will stay in one place and will show up in your site navigation (in most themes). Most people start with an About page that introduces them to potential site visitors. It might say something like this:\n\n<blockquote>Hi there! I'm a bike messenger by day, aspiring actor by night, and this is my blog. I live in Los Angeles, have a great dog named Jack, and I like pi&#241;a coladas. (And gettin' caught in the rain.)</blockquote>\n\n...or something like this:\n\n<blockquote>The XYZ Doohickey Company was founded in 1971, and has been providing quality doohickeys to the public ever since. Located in Gotham City, XYZ employs over 2,000 people and does all kinds of awesome things for the Gotham community.</blockquote>\n\nAs a new WordPress user, you should go to <a href=\"%s\">your dashboard</a> to delete this page and create new pages for your content. Have fun!","Esto es una página de ejemplo. Es diferente a una entrada porque permanece fija en un lugar y se mostrará en la navegación de tu sitio (en la mayoría de los temas). La mayoría de la gente empieza con una página de Acerca de, que les presenta a los potenciales visitantes del sitio. Podría ser algo como esto::\n\n<blockquote>¡Hola! Soy mensajero por el día, aspirante a actor por la noche, y este es mi blog. Vivo en Madrid, tengo un perrazo llamado Duque y me gustan las piñas coladas (y que me pille un chaparrón)</blockquote>\n\n...o algo así:\n\n<blockquote>La empresa XYZ se fundó en 1971 y ha estado ofreciendo \"cosas\" de calidad al público desde entonces. Situada en Madrid, XYZ emplea a más de 2.000 personas y hace todo tipo de cosas sorprendentes para la comunidad de Madrid.</blockquote>\n\nSi eres nuevo en WordPress deberías ir a <a href=\"%s\">tu escritorio</a> para borrar esta páginay crear páginas nuevas con tu propio contenido. ¡Pásalo bien!"
"Sample Page","Página de ejemplo"
"sample-page","pagina-ejemplo"
"Your new WordPress site has been successfully set up at:\n\n%s\n\nYou can log in to the administrator account with the following information:\n\nUsername: %s\nPassword: %s\n\nWe hope you enjoy your new site. Thanks!\n\n--The WordPress Team\nhttp://wordpress.org/\n","Se ha configurado correctamente tu nuevo sitio de WordPress en:\n\n%s\n\nPuedes identificarte como administrador con la siguiente información:\n\nNombre de usuario: %s\nContraseña: %s\n\nEsperamos que disfrutes de tu nuevo sitio. ¡Gracias!\n\n--El equipo de WordPress\nhttp://es.wordpress.org/\n"
"New WordPress Site","Nuevo sitio de WordPress"
"You can&#8217;t give users that role.","No puedes asignar ese perfil a los usuarios."
"<strong>ERROR</strong>: You entered your new password only once.","<strong>ERROR</strong>: Has escrito tu nueva contraseña sólo una vez."
