"New password","Ny adgangskode"
"File is empty. Please upload something more substantial. This error could also be caused by uploads being disabled in your php.ini or by post_max_size being defined as smaller than upload_max_filesize in php.ini.","Filen er tom. Upload venligst noget mere indholdsrigt. Fejlen kan ogs&#229; skyldes at uploads er sl&#229;et fra i din php.ini eller fordi post_max_size er mindre end upload_max_filesize i php.ini."
"Specified file failed upload test.","Den valgte fil kunne ikke uploades."
"Sorry, this file type is not permitted for security reasons.","Beklager, denne filtype er ikke tilladt af sikkerhedsmæssige årsager."
"The uploaded file could not be moved to %s.","Den uploadede fil kunne ikke flyttes til %s."
"The uploaded file exceeds the <code>upload_max_filesize</code> directive in <code>php.ini</code>.","Den uploadede fil overstiger indstillingerne i <code>upload_max_filesize</code> i <code>php.ini</code>."
"The uploaded file exceeds the <em>MAX_FILE_SIZE</em> directive that was specified in the HTML form.","Den uploadede fil overstiger indstillingerne i <em>MAX_FILE_SIZE</em> i HTML-formularen."
"File is empty. Please upload something more substantial. This error could also be caused by uploads being disabled in your php.ini.","Filen er tom. Upload venligst noget mere indholdsrigt. Fejlen kan ogs&#229; skyldes at uploads er sl&#229;et fra i din php.ini."
"Specified file does not exist.","Den valgte fil eksisterer ikke"
"Invalid URL Provided.","Ugyldig URL"
"Could not create Temporary file.","Kunne ikke oprette midlertidig fil."
"Incompatible Archive.","Inkompatibel pakke."
"Could not retrieve file from archive.","Kunne ikke hente filen."
"Could not extract file from archive.","Kunne ikke udpakke filen."
"Could not copy file.","Filen kunne ikke kopieres."
"Empty archive.","Tomt arkiv."
"<strong>ERROR:</strong> There was an error connecting to the server, Please verify the settings are correct.","<strong>FEJL:</strong> Der opstod en fejl ved forbindelsen til serverne, bekræft venligst at indstillingerne er korrekte."
"Connection Information","Forbindelsesinformation"
"To perform the requested action, WordPress needs to access your web server.","For at udføre den handling, du har anmodet om, skal WordPress have adgang til din webserver."
"Please enter your FTP or SSH credentials to proceed.","Indtast venligst dine FTP- eller SSH-adgangsoplysninger for at fortsætte."
"FTP/SSH Username","FTP/SSH brugernavn"
"FTP/SSH Password","FTP/SSH kodeord"
"Please enter your FTP credentials to proceed.","Indtast venligst dine FTP-adgangsoplysninger for at fortsætte."
"FTP Username","FTP brugernavn"
"FTP Password","FTP kodeord"
"If you do not remember your credentials, you should contact your web host.","Kan du ikke huske dine adgangsoplysninger, bør du kontakte din udbyder."
"Hostname","V&#230;rtsnavn"
"Authentication Keys","Autentificerings-n&#248;gler"
"Public Key:","Offentlig n&#248;gle:"
"Private Key:","Privat n&#248;gle:"
"Enter the location on the server where the keys are located. If a passphrase is needed, enter that in the password field above.","Skriv placeringen for den server, hvor n&#248;glerne er placeret. Hvis der kr&#230;ves en kodes&#230;tning, skriv den da i kodeordsfeltet ovenfor."
"Connection Type","Forbindelsestype:"
"Proceed","Forts&#230;t"
"Image data does not exist. Please re-upload the image.","Billeddata findes ikke. Gen-upload billedet."
"Crop","Beskær"
"Rotate counter-clockwise","Roter mod uret"
"Rotate clockwise","Roter med uret"
"Image rotation is not supported by your web host.","Rotering af billeder er ikke understøttet af din udbyder."
"Flip vertically","Flip vertikalt"
"Flip horizontally","Flip horisontalt"
"Scale Image","Skalér billede"
"You can proportionally scale the original image. For best results the scaling should be done before performing any other operations on it like crop, rotate, etc. Note that if you make the image larger it may become fuzzy.","Du kan skalere det oprindelige billede proportionelt. Du får de bedste resultater, hvis du skalerer før, du gør noget som helst andet (beskærer, roterer osv.). Læg også mærke til, at billedet bliver utydeligt, hvis du laver det større. "
"Original dimensions %s","Oprindeligt størrelsesforhold %s"
"Discard any changes and restore the original image.","Slet alle ændringer og genskab det originale billede."
"Previously edited copies of the image will not be deleted.","Tidligere redigerede kopier af dette billede vil ikke blive slettet."
"Restore image","Genskab billede"
"Image Crop","Billedbeskæring"
"(help)","(hjælp)"
"The image can be cropped by clicking on it and dragging to select the desired part. While dragging the dimensions of the selection are displayed below.","Billedet kan beskæres ved at klikke på det og trække for at vælge den ønskede del. Billedets størrelse vises nedenfor mens du trækker."
"Crop Aspect Ratio","Størrelsesforhold ved beskæring"
"You can specify the crop selection aspect ratio then hold down the Shift key while dragging to lock it. The values can be 1:1 (square), 4:3, 16:9, etc. If there is a selection, specifying aspect ratio will set it immediately.","Du kan specificere og låse størrelsesforholdet når du beskærer. Det gør du ved at holde shift-knappen nede, mens du trækker. Værdierne kan være 1:1 (kvadrat), 4:3, 16:9 osv. Hvis noget er valgt, bliver størrelsesforholdet ændret med det samme."
"Crop Selection","Beskær det valgte"
"Once started, the selection can be adjusted by entering new values (in pixels). Note that these values are scaled to approximately match the original image dimensions. The minimum selection size equals the thumbnail size as set in the Media settings.","Når du er gået i gang, kan du ændre størrelsen af det valgte område ved at skrive nye værdier (i pixels). Vær opmærksom på, at værdierne skaleres til at beholde originalbilledets størrelsesforhold. Det mindst mulige valg er det samme som størrelsen på thumbnails. Den værdi styres under Indstillinger --> Medier."
"Aspect ratio:","Størrelsesforhold:"
"Selection:","Valgt:"
"Thumbnail Settings","Thumbnail-indstillinger"
"The thumbnail image can be cropped differently. For example it can be square or contain only a portion of the original image to showcase it better. Here you can select whether to apply changes to all image sizes or make the thumbnail different.","Thumbnailen kan beskæres på en anden måde end den store udgave. Den kan eksempelvis være kvadratisk eller kun indeholde en del af originalen for bedre at udnytte formatet. Her kan du vælge, om ændringerne skal gælde for alle billedstørrelser eller om thumbnailen skal være anderledes."
"Current thumbnail","Nuv&#230;rende thumbnail"
"Apply changes to:","Lav ændringer for:"
"All image sizes","Alle billedst&#248;rrelser"
"All sizes except thumbnail","Alle andre end thumbnail"
"There are unsaved changes that will be lost. 'OK' to continue, 'Cancel' to return to the Image Editor.","Der er ændringer, der ikke er gemt, der vil blive tabt. 'OK' for at fortsætte, 'Annuller' for at vende tilbage til billed-editoren."
"$image needs to be an WP_Image_Editor object","$image skal være et WP_Image_Editor objekt"
"Use WP_Image_Editor::rotate","Benyt WP_Image_Editor::rotate"
"Use WP_Image_Editor::flip","Benyt WP_Image_Editor::flip"
"Cannot load image metadata.","Kan ikke hente billedets metadata."
"Cannot save image metadata.","Kan ikke gemme billedets metadata."
"Image metadata is inconsistent.","Billedets metadata er uoverensstemmende."
"Image restored successfully.","Billede genskabt."
"Unable to create new image.","Kunne ikke oprette nyt billede."
"Error while saving the scaled image. Please reload the page and try again.","Der opstod en fejl ved billedskalering. Genindl&#230;s siden og pr&#248;v igen."
"Nothing to save, the image has not changed.","Intet at gemme, billedet er ikke blveet ændret."
"Unable to save the image.","Kunne ikke gemme billedet."
"Image saved","Billede gemt"
"Install the Blogger importer to import posts, comments, and users from a Blogger blog.","Installer Blogger import-funktionen for at indlæse indlæg, kommentarer og brugere fra en Blogger blog."
"Categories and Tags Converter","Kategorier- og Tags konverteringsværktøj"
"Install the category/tag converter to convert existing categories to tags or tags to categories, selectively.","Installer kategori/tag konverteringsværktøjet for at konvertere kategorier til tags, eller tags til kategorier efter ønske."
"Install the LiveJournal importer to import posts from LiveJournal using their API.","Installer LiveJournal importfunktionen for at importere indlæg fra LiveJournal med deres API."
"Movable Type and TypePad","Movable Type og Typepad"
"Install the Movable Type importer to import posts and comments from a Movable Type or TypePad blog.","Installer Movable Type import-funktionen for at importere indlæg og kommentarer fra en Movable Type eller en TypePad blog."
"Install the blogroll importer to import links in OPML format.","Installer blogroll import-funktionen for at importere links i OPML-format."
"Install the RSS importer to import posts from an RSS feed.","Installer RSS-importeren for at importere indlæg fra et RSS feed."
"Install the Tumblr importer to import posts &amp; media from Tumblr using their API.","Installer Tumblr-importværktøjet for at importere indlæg & medier fra Tumblr ved hjælp af deres API."
"Install the WordPress importer to import posts, pages, comments, custom fields, categories, and tags from a WordPress export file.","Installer WordPress' import-funktion for at importere indlæg, sider, kommentarer, egne felter, kategorier og tags fra en WordPress eksport-fil."
"From Computer","Fra Computer"
"From URL","Fra URL"
"Gallery (%s)","Galleri (%s)"
"File URL","Fil-URL"
"Attachment Post URL","Vedhæftningens indlægs-url"
