"New password","Nové heslo"
"To use a subdomain configuration, you must have a wildcard entry in your DNS. This usually means adding a <code>*</code> hostname record pointing at your web server in your DNS configuration tool.","Pokud chcete využívat pro jednotlivé weby subdomény, musíte mít na DNS serveru nejdříve definovaný příslušný zástupný znak (wildcard). Obvykle to znamená vytvoření nového DNS záznamu pro další server v podobě symbolu <code>*</code>, který bude automaticky směrovat všechny subdomény na váš webový server."
"You can still use your site but any subdomain you create may not be accessible. If you know your DNS is correct, ignore this message.","Stále můžete bez problémů používat váš hlavní web, ale žádná vytvořená subdoména s novým webem patrně nebude dostupná. Pokud jste si ale jisti, že máte DNS záznamy nastavené správně, můžete toto upozornění ignorovat."
"Contextual Help Tab",""
"Screen Options","Nastavení zobrazených informací"
"Enable accessibility mode","Zapnout Režim pro správu widgetů se zachováním pravidel přístupnosti webu"
"Disable accessibility mode","Vypnout Režim pro správu widgetů se zachováním pravidel přístupnosti webu"
"Screen Options Tab",""
"Show on screen",""
"Welcome",""
"Screen Layout","Rozmístění na stránce"
"Number of Columns:","Počet sloupců:"
"You did not enter a category name.","Nezadali jste název rubriky."
"Reply to Comment","Odpovědět na komentář"
"Add new Comment",""
"Add Comment",""
"Update Comment","Aktualizovat komentář"
"Submit Reply","Odeslat odpověď"
"Comment by %s moved to the trash.","Komentář byl přesunut do koše (autorem komentáře byl %s)."
"Comment by %s marked as spam.","Komentář byl označen jako spam (autorem komentáře byl %s)."
"Value","Hodnota"
"Key","Identifikátor"
"Add New Custom Field:","Přidat nové uživatelské pole:"
"Enter new","Vytvořit nové uživatelské pole"
"Add Custom Field","Přidat uživatelské pole"
"%s-%s","%s - %s"
"%s%s, %s @ %s : %s","%s.%s.%s, %s:%s"
"Thumbnail linked to file","Náhled odkazuje na soubor"
"Image linked to file","Obrázek odkazuje na soubor"
"Thumbnail linked to page","Náhled odkazuje na stránku"
"Image linked to page","Obrázek odkazuje na stránku"
"Link to file","Odkaz na soubor"
"Link to page","Odkaz na stránku"
"Before you can upload your import file, you will need to fix the following error:","Před nahráním importního souboru budete muset ještě vyřešit následující chybu:"
"Choose a file from your computer:","Vyberte soubor na svém počítači:"
"Maximum size: %s","Maximální velikost: %s"
"Upload file and import","Nahrát soubor a importovat"
"Click to toggle","Kliknutím rozbalit/sbalit"
"The miscellaneous options group has been removed. Use another settings group.","Stránka pro Ostatní nastavení byla odstraněna, použijte prosím nějakou jinou nabídku z levého menu."
"The privacy options group has been removed. Use another settings group.",""
"Find Posts or Pages","Vyhledat příspěvky nebo stránky"
"Save Changes","Uložit změny"
"New Feature: Toolbar","Novinka: Navigační lišta"
"We&#8217;ve combined the admin bar and the old Dashboard header into one persistent toolbar. Hover over the toolbar items to see what&#8217;s new.","Administrační lišta byla sloučena s původním záhlavím administrace do jedné přehledné navigační lišty. Pokud přejedete kurzorem myši přes jednotlivé položky, automaticky se objeví související nabídka."
"Network Admin is now located in the My Sites menu.","Přístup do administrace sítě webů je nově umístěn pod položkou Moje weby."
"New Feature: Saving Widgets","Novinka: Ukládání widgetů"
"If you change your mind and revert to your previous theme, we&#8217;ll put the widgets back the way you had them.","Nyní už můžete bez obav zkoušet různé zajímavé šablony, protože po případném návratu k předchozí šabloně zůstane rozmístění widgetů zachováno v původní podobě."
"New Feature: Customizer","Novinka: Náhled s možností úprav"
"Click Customize to change the header, background, title and menus of the current theme, all in one place.",""
"Click the Live Preview links in the Available Themes list below to customize and preview another theme before activating it.",""
"New Feature: Choose Image from Library",""
"Want to use an image you uploaded earlier? Select it from your media library instead of uploading it again.",""
"Uploading files and creating image galleries has a whole new look. Check it out!",""
"Likely direct inclusion of wp-admin/includes/template.php in order to use add_meta_box(). This is very wrong. Hook the add_meta_box() call into the add_meta_boxes action instead.","Funkce add_meta_box() byla pravděpodobně použita v kombinaci s přímým načtením souboru wp-admin/includes/template.php, což je bohužel nesprávný způsob. Zprovozněte funkci add_meta_box() raději pomocí nějaké dostupné akce v administraci, např. add_meta_boxes."
"Search for themes by keyword.",""
"Type of search",""
"Search by keyword",""
"Search by author",""
"Search by tag",""
"Feature Filter","Vyhledávání podle vlastností"
"Find a theme based on specific features.",""
"Find Themes","Hledat šablony"
"Install a theme in .zip format","Instalovat šablonu v podobě .zip souboru"
"If you have a theme in a .zip format, you may install it by uploading it here.","Pokud máte šablonu v podobě .zip souboru, můžete ji tady nahrát a nainstalovat."
"Theme Install","Instalace šablon"
"Unable to locate WordPress theme directory.","Nepodařilo se najít adresář se šablonami pro WordPress."
"Could not fully remove the theme %s.","Nepodařilo se zcela smazat šablonu %s."
"Updating this theme will lose any customizations you have made. 'Cancel' to stop, 'OK' to update.",""
"There is a new version of %s available. <a href=\"%s\" class=\"thickbox\" title=\"%s\">View version %s details</a>.","Nová verze %s je k dispozici. <a href=\"%s\" class=\"thickbox\" title=\"%s\">Prohlédněte si informace o nové verzi %s</a>."
"There is a new version of %s available. <a href=\"%s\" class=\"thickbox\" title=\"%s\">View version %s details</a>. <em>Automatic update is unavailable for this theme.</em>",""
"There is a new version of %s available. <a href=\"%s\" class=\"thickbox\" title=\"%s\">View version %s details</a> or <a href=\"%s\" %s>update now</a>.",""
"Tan","Žlutohnědá"
"Dark","Tmavá"
"Light",""
"One Column","1 sloupec"
"Two Columns","2 sloupce"
"Three Columns","3 sloupce"
"Four Columns","4 sloupce"
"Left Sidebar","Postranní panel vlevo"
"Right Sidebar","Postranní panel vpravo"
"Fixed Width","Pevná šířka"
"Flexible Width","Proměnlivá šířka"
"Features","Další možnosti"
"Custom Colors","Uživatelské nastavení barev"
"Editor Style","Stylování vizuálního editoru"
"Featured Image Header","Náhledový obrázek v záhlaví"
"Featured Images","Náhledové obrázky"
"Flexible Header",""
"Front Page Posting","Publikování příspěvků přímo z webu"
"Full Width Template","Šablona pro celou šířku webu"
"Microformats","Mikroformáty"
"Post Formats","Formáty příspěvků"
"RTL Language Support","Podpora RTL (text psaný zprava doleva)"
"Sticky Post","Zvýrazněné příspěvky"
"Theme Options","Rozšířené možnosti nastavení"
"Threaded Comments","Vlákna v komentářích"
"Translation Ready","Podpora lokalizace"
"Subject","Použití"
"Holiday","Prázdniny"
"Photoblogging","Fotoblog"
"Seasonal","Sezónní"
"Verifying the unpacked files&#8230;","Ověřování rozbalených souborů&#8230;"
"The update could not be unpacked","Aktualizace nemohla být rozbalena"
"The update cannot be installed because WordPress %s requires PHP version %s or higher and MySQL version %s or higher. You are running PHP version %s and MySQL version %s.","Automatická aktualizace nemůže být provedena, protože WordPress %s vyžaduje alespoň PHP %s a MySQL %s. Na vašem serveru jsou však používány starší verze PHP %s a MySQL %s."
"The update cannot be installed because WordPress %s requires PHP version %s or higher. You are running version %s.","Automatická aktualizace nemůže být provedena, protože WordPress %s vyžaduje alespoň PHP %s a na vašem serveru je používána starší verze PHP %s."
"The update cannot be installed because WordPress %s requires MySQL version %s or higher. You are running version %s.","Automatická aktualizace nemůže být provedena, protože WordPress %s vyžaduje alespoň MySQL %s a na vašem serveru je používána starší verze MySQL %s."
"Upgrading database&#8230;","Aktualizace databáze&#8230;"
"WordPress updated successfully","WordPress byl úspěšně aktualizován"
"Welcome to WordPress %s. You will be redirected to the About WordPress screen. If not, click <a href=\"%s\">here</a>.",""
"Welcome to WordPress %s. <a href=\"%s\">Learn more</a>.","Vítejte ve WordPressu %s. <a href=\"%s\">Podrobnější informace</a>."
"You are using a development version (%s). Cool! Please <a href=\"%s\">stay updated</a>.","Používáte vývojářskou verzi WordPressu (%s). Děkujeme! Pravidelně, prosím, aktualizujte na <a href=\"%s\">nejnovější verzi</a>."
"<a href=\"%s\">Get Version %s</a>","<a href=\"%s\">Stáhnout verzi %s</a>"
"<a href=\"http://codex.wordpress.org/Version_%s\">WordPress %s</a> is available! <a href=\"%s\">Please update now</a>.","Byl vydán nový <a href=\"http://codex.wordpress.org/Version_%s\">WordPress %s</a>! Doporučujeme <a href=\"%s\">provést aktualizaci</a>."
"<a href=\"http://codex.wordpress.org/Version_%s\">WordPress %s</a> is available! Please notify the site administrator.","Byl vydán nový <a href=\"http://codex.wordpress.org/Version_%s\">WordPress %s</a>! Upozorněte prosím administrátora webu na potřebu aktualizace."
"You are using <span class=\"b\">WordPress %s</span>.","Používáte <span class=\"b\">WordPress %s</span>."
"Update to %s","Aktualizovat na verzi %s"
"Latest","Nejnovější"
"There is a new version of %s available. <a href=\"%s\" class=\"thickbox\" title=\"%s\">View version %s details</a>. <em>Automatic update is unavailable for this plugin.</em>","Nová verze %s je k dispozici. <a href=\"%s\" class=\"thickbox\" title=\"%s\">Prohlédněte si informace o nové verzi %s</a>. <em>Automatická aktualizace není v tomto případě bohužel dostupná.</em>"
"There is a new version of %s available. <a href=\"%s\" class=\"thickbox\" title=\"%s\">View version %s details</a> or <a href=\"%s\">update now</a>.",""
"An automated WordPress update has failed to complete - <a href=\"%s\">please attempt the update again now</a>.","Automatická aktualizace WordPressu selhala - <a href=\"%s\">zkuste ji prosím spustit ještě jednou</a>."
"An automated WordPress update has failed to complete! Please notify the site administrator.","Automatická aktualizace WordPressu selhala! Kontaktujte prosím administrátora webu."
"<strong><em>Note that password</em></strong> carefully! It is a <em>random</em> password that was generated just for you.","<strong><em>Určitě si heslo pečlivě poznamenejte!</em></strong> Toto heslo bylo <em>náhodně</em> vygenerováno pouze pro vás a nikde jinde ho už nenajdete."
"Your chosen password.","Zvolené heslo."
"User already exists. Password inherited.","Uživatel již existuje, jeho heslo zůstalo nezměněno."
