"New password","新規パスワード"
"Click to edit this part of the permalink","クリックしてパーマリンクのこの部分を編集"
"Temporary permalink. Click to edit this part.","これは一時的なパーマリンクです。この部分を編集するにはクリックしてください。"
"Permalink:","パーマリンク:"
"Change Permalinks","パーマリンクの変更"
"Remove featured image","アイキャッチ画像を削除"
"Warning: %s is currently editing this post","注意: %s さんが現在この投稿を編集中"
"Warning: %s is currently editing this page","注意: %s さんが現在このページを編集中"
"Warning: %s is currently editing this.","注意: 現在 %s さんがこのページを編集中です。"
"Preview not available. Please save as a draft first.","プレビューできません。まず下書きとして保存してください。"
"0","Asia/Tokyo"
"My Site","参加サイト"
"F j, Y","Y年n月j日"
"g:i a","g:i A"
"F j, Y g:i a","Y年n月j日 g:i A"
"Administrator","管理者"
"Editor","プラグイン編集"
"Contributor","寄稿者"
"Subscriber","購読者"
"You must provide a domain name.","ドメイン名を入力してください。"
"You must provide a name for your network of sites.","サイトネットワークの名称を入力してください。"
"The network already exists.","ネットワークはすでに作成済みです。"
"You must provide a valid e-mail address.","メールアドレスを入力してください。"
"Welcome to <a href=\"SITE_URL\">SITE_NAME</a>. This is your first post. Edit or delete it, then start blogging!","<a href=\"SITE_URL\">SITE_NAME</a>へようこそ。これは最初の投稿です。編集もしくは削除してブログを始めてください !"
"Warning! Wildcard DNS may not be configured correctly!","注意 ! ワイルドカード DNS が正しく設定されていない可能性があります。"
"The installer attempted to contact a random hostname (<code>%s</code>) on your domain.","インストーラーはこのドメイン上のランダムなホスト名 (<code>%s</code>) への接続を試みました。"
"This resulted in an error message: %s","その結果、このエラーメッセージが返されました: %s"
"To use a subdomain configuration, you must have a wildcard entry in your DNS. This usually means adding a <code>*</code> hostname record pointing at your web server in your DNS configuration tool.","サブドメインの設定を行うには、DNS にワイルドカードを追加する必要があります。たいていの場合、お使いの Web サーバーに向けた <code>*</code> ホスト名レコードを DNS 設定ツールで追加することになります。"
"You can still use your site but any subdomain you create may not be accessible. If you know your DNS is correct, ignore this message.","サイトを使い続けることはできますが、作成されたサブドメインはアクセスできないようです。もし DNS が正しく設定されているなら、このメッセージは無視してください。"
"Contextual Help Tab","コンテクストヘルプタブ"
"Screen Options","表示オプション"
"Enable accessibility mode","アクセシビリティモードを有効にする"
"Disable accessibility mode","アクセシビリティモードを無効にする"
"Screen Options Tab","表示オプションタブ"
"Show on screen","表示する項目"
"Welcome","ようこそ"
"Screen Layout","スクリーンレイアウト"
"Number of Columns:","列の数:"
"You did not enter a category name.","カテゴリー名が入力されていません。"
"Reply to Comment","コメントに返信"
"Add new Comment","新しいコメントを追加する"
"Add Comment","コメントする"
"Update Comment","コメントを更新"
"Submit Reply","返事を送信"
"Comment by %s moved to the trash.","%sからのコメントをゴミ箱に移動しました。"
"Comment by %s marked as spam.","%sからのコメントをスパムとしてマークしました。"
"Value","値"
"Key","キー"
"Add New Custom Field:","カスタムフィールドを追加:"
"Enter new","新規追加"
"Add Custom Field","カスタムフィールドを追加"
"%s%s, %s @ %s : %s","%s年%s%s日 @ %s : %s"
"Thumbnail linked to file","ファイルにサムネイルをリンク"
"Image linked to file","画像をファイルにリンク"
"Thumbnail linked to page","サムネイルをページにリンク"
"Image linked to page","画像をページにリンク"
"Link to file","ファイルにリンクする"
"Link to page","ページにリンクする"
"Before you can upload your import file, you will need to fix the following error:","インポートファイルをアップロードする前に次のエラーを修復する必要があります:"
"Choose a file from your computer:","自分のコンピューターからファイルを選択する:"
"Maximum size: %s","最大サイズ: %s"
"Upload file and import","ファイルをアップロードしてインポート"
"Click to toggle","クリックで切替"
"The miscellaneous options group has been removed. Use another settings group.","混合オプショングループを削除しました。他の設定グループを使ってください。"
"The privacy options group has been removed. Use another settings group.","プライバシーオプショングループは削除されました。他の設定グループを使ってください。"
"Find Posts or Pages","投稿またはページを検索"
